name,category,lat,lon
,recycling,43.6086416,3.8985631
Parking Polygone,parking,43.6080542,3.885482
,fountain,43.6075433,3.8971991
La Victoire de Samothrace,artwork,43.60764,3.8957055
Crédit Agricole,bank,43.6068564,3.8912203
Banque Populaire,bank,43.6064721,3.8982182
,atm,43.6076498,3.8906259
Points of View,artwork,43.6089917,3.8947124
Carrefour,fuel,43.5810686,3.9310883
,atm,43.5821377,3.9298212
,fountain,43.5996282,3.9003942
,recycling,43.6172812,3.9027198
Société Générale,bank,43.6025529,3.9003257
Montpellier Port Marianne,post_office,43.6021205,3.9000278
,atm,43.6098799,3.8803115
,fuel,43.6233235,3.8985873
,atm,43.6229438,3.8990808
,recycling,43.6060893,3.8991689
Pharmacie Port-Marianne,pharmacy,43.6067105,3.8989438
,recycling,43.6069053,3.8988446
,parking,43.6143162,3.9072064
,parking,43.6092164,3.8886435
Pharmacie Cluzel,pharmacy,43.5955872,3.8878177
,recycling,43.6003172,3.886969
,post_box,43.6009998,3.8843948
,recycling,43.6091304,3.9144245
,post_box,43.6077245,3.8869314
,atm,43.6079841,3.8861925
,post_box,43.5820668,3.930224
Carrefour,fuel,43.6469432,3.8433021
Wash,car_wash,43.6079051,3.913126
,bicycle_parking,43.5820489,3.9301741
Épicerie le Trigone,convenience,43.6066306,3.8910825
Aux Délices de Nuit,deli,43.6066306,3.890779
Le Moulin Blanc,bakery,43.606852,3.8904977
,atm,43.6096832,3.87764
,artwork,43.6075917,3.896435
,atm,43.6111213,3.8772822
Buffet d'Eau,fountain,43.6010743,3.9266465
,fountain,43.5999691,3.9255752
Dionysos,artwork,43.60788,3.8932538
Place du Gévaudan,parking,43.6410849,3.8198202
Corum,parking_entrance,43.6133761,3.8814356
,parking_entrance,43.6228372,3.836649
Carrefour Market,fuel,43.5901576,3.8547344
Aphrodite,artwork,43.6080413,3.8907536
Les Jardins d'Antigone,convenience,43.6078739,3.8890375
,parking,43.6078895,3.8983027
Parking Comédie,parking_entrance,43.6085878,3.8793328
,bench,43.6080449,3.8913532
,bench,43.6080254,3.8913142
,bench,43.6080178,3.8917493
,bench,43.6079945,3.8917843
,bench,43.6078093,3.8917261
,bench,43.607837,3.8913186
,bench,43.6078646,3.8912918
,bench,43.6078075,3.8955256
,bench,43.6078799,3.8956355
,bench,43.6074927,3.8954892
,bench,43.6074142,3.8955866
Apollon,artwork,43.6085179,3.8863962
Discobole,artwork,43.6080877,3.8863302
Jean Jaurès,artwork,43.6099341,3.8777589
,parking_entrance,43.6111965,3.8773584
,bicycle_parking,43.6090851,3.8836208
La Poste,post_office,43.7286979,4.0805633
,recycling,43.7289602,4.0834837
Pharmacie Saint-Christol,pharmacy,43.729184,4.081603
,parking,43.729135,4.0826462
Maison Bonnaire - Aiguillerie,bakery,43.6116243,3.8789695
Boulangerie Pâtisserie,bakery,43.6117784,3.8779978
Il Pizzaiolo,restaurant,43.6109756,3.8758721
Marie Blachère,bakery,43.6089712,3.8788438
Maison Biron,bakery,43.6102766,3.8762245
Maison Bonnaire,bakery,43.6086515,3.8733993
Carrefour Express,convenience,43.6148397,3.8785551
Alimentation du Corum,convenience,43.6142568,3.8806569
Spar,convenience,43.6138397,3.8802723
Poke Food,restaurant,43.6129173,3.8792581
EF Séjours Linguistiques,travel_agency,43.6108268,3.8776485
Le Gourmand d'Assas,convenience,43.6134499,3.866694
Chuma,convenience,43.6118896,3.8658214
,post_box,43.6155514,3.8811484
Caisse d'Épargne,bank,43.6148318,3.8787668
